	(326.1813985754073, 601.2456560617325),
	(351.44387325873566, 608.087247460978),
	(313.4756401006621, 598.3192757752253),
	(364.1496317334854, 611.0136277474876),
	(580.3854692459897, 295.7978767735316),
	(585.9968774627241, 302.8343601157466),
	(574.9324027098717, 287.3560721470025),
	(204.79555096570172, 355.2873275545284),
	(300.29343039732856, 200.50162913430188),
	(309.6824582566095, 196.52090610229536),
	(292.5943627122342, 206.96106848925814),
	(616.3603429370306, 481.1800591535291),
]

dancing 1
[
	(399.0, 216.0),
	(536.2533200954144, 521.8525041309227),
	(221.0288348105791, 419.68049874218184),
	(502.67703508970567, 252.88634847442827),
	(439.8310720517407, 571.8560028023724),
	(245.19673022247937, 316.73567590985823),
	(579.9678942351306, 339.53052799492275),
	(301.48145272258535, 587.3608706276415),
	(340.602621529806, 178.65874439935848),
	(604.7372667393942, 527.826646705928),
	(157.58771234136364, 445.5881869798146),
	(548.7548784718401, 198.74149426464464),
	(423.641740579037, 636.6982638347681),
	(230.7207227128946, 248.14965827777903),
	(613.9826488925522, 395.37118017992674),
	(261.7491855771864, 540.2808337280212),
	(565.6916026584881, 176.50214137835306),
	(429.17511832159363, 680.7878424556893),
	(186.3621559227001, 202.76949632979358),
	(702.5497059463296, 409.4167633393595),
	(153.27978870602283, 595.3308407268429),
	(123.51268222720046, 455.926407991243),
	(649.7813416941331, 545.366025403045),
	(304.5183755784439, 117.5973452712937),
	(287.8874570132822, 681.2041566283317),
	(668.5371279372139, 254.8593409163634),
	(95.62440929882496, 340.69991749322116),
	(597.4721757113392, 655.635951735725),
	(430.9686214984083, 62.11696627014794),
	(130.75713407987854, 631.6576766505256),
	(765.0777114011246, 422.8093103384827),
	(149.95923845805973, 120.24185880027272),
	(380.39780622296075, 778.3037853354463),
	(683.6859941369114, 149.4660567297273),
	(458.99999999924114, 71.99999999986352),
	(600.6748127571624, 691.2569647663001),
	(34.448874415360194, 353.55245341460045),
]

Better dancing
[
	(398.0, 216.99999999999997),
	(539.2384067167926, 517.7185885702384),
	(215.29551488880895, 429.2788862460616),
	(506.1407982219533, 234.77551345878965),
	(448.21460480738205, 603.4584770494166),
	(206.25214062763158, 279.1415415098101),
	(647.7678062199457, 357.0568491962283),
	(228.99364905388984, 603.8083117443836),
	(404.3788745640529, 131.35557802635788),
	(560.7271291177301, 600.0769601067861),
	(165.57004739631338, 359.5574812575521),
	(583.6975098620157, 279.5623610722353),
	(362.2430520030032, 598.250883675085),
	(284.53708105552647, 246.20040848941784),
	(582.2602170282169, 416.3160439085975),
	(265.7657529973841, 521.9268917492802),
	(399.00000000000045, 191.99999999999997),
	(534.9842208779982, 555.7698947613428),
	(202.4532054839826, 373.1622658101248),
	(557.1184972143416, 293.88789968572416),
	(359.5322678243157, 567.8432681180782),
	(323.9523324987556, 261.83071156143205),
	(534.12702160829, 445.999370370575),
	(275.58657048909805, 454.50961894322717),
	(459.0555452705065, 269.6142547177677),
	(443.8931917770805, 546.4595087920904),
	(257.7314032290724, 310.861644771562),
	(579.743635509049, 373.500462381578),
	(272.5136461725277, 549.4898979455686),
	(400.98442703529906, 149.14539887932656),
	(577.6108622074214, 577.5172713454563),
	(145.075907656362, 406.3013603906077),
	(578.2375196014425, 205.43282238176607),
	(219.76326216380744, 576.5324852092883),
	(655.8557158515243, 406.8449007373424),
	(232.30853501673326, 205.80017360521197),
	(375.2195657674978, 658.8859402888628),
	(404.9847397979937, 675.439925154554),
	(204.80131945233842, 191.26218571506507),
	(610.2775479024028, 218.64026673996054),
	(694.4170388700521, 431.29867765561687),
	(148.09430265399462, 569.686533480482),
	(104.92658893715924, 392.47124952334),
	(628.0396719436887, 609.0237020526973),
	(486.30148486282974, 103.2542271396764),
	(526.328836537144, 687.6769456511445),
	(114.77722933711135, 259.05330406360974),
	(710.4313013432866, 323.2835927176359),
	(215.10818705142222, 659.4745026097711),
	(368.16616506448344, 86.45318219873724),
]
